,Borough,hour_of_day,day_of_week,minutes_per_mile,traffic
0,Bronx,0,Tuesday,4.2078580481622305,62850
1,Bronx,1,Sunday,4.297612563543936,108220
2,Bronx,2,Saturday,4.182630906768837,63190
3,Bronx,3,Tuesday,3.7745098039215685,18890
4,Bronx,8,Monday,5.353238265002971,132860
5,Bronx,8,Saturday,4.268203933962656,84020
6,Bronx,8,Tuesday,5.430303030303031,144210
7,Bronx,9,Tuesday,5.134843581445524,123190
8,Bronx,9,Wednesday,5.096531758805481,128060
9,Bronx,10,Sunday,4.375,81680
10,Bronx,11,Thursday,5.388257575757575,110570
11,Bronx,12,Wednesday,5.456461586070832,112100
12,Bronx,13,Friday,5.703808922558922,122000
13,Bronx,16,Saturday,5.569105691056911,144450
14,Bronx,18,Wednesday,5.626598465473145,143250
15,Bronx,20,Sunday,4.772079772079772,121870
147,Brooklyn,0,Wednesday,4.602183575175839,139600
148,Brooklyn,1,Saturday,4.684538315732467,227230
149,Brooklyn,1,Sunday,4.752564709595959,265140
150,Brooklyn,2,Sunday,4.591584967320262,186040
151,Brooklyn,3,Friday,4.342435041087849,56820
152,Brooklyn,3,Sunday,4.503177678967917,137100
153,Brooklyn,4,Saturday,4.368254760123056,81420
154,Brooklyn,6,Wednesday,4.860139860139861,108270
155,Brooklyn,7,Friday,5.549169859514687,203700
156,Brooklyn,7,Saturday,4.54000396993241,117160
157,Brooklyn,7,Wednesday,5.696939812324427,197320
158,Brooklyn,9,Sunday,4.915188847039129,160920
159,Brooklyn,10,Saturday,5.3809440182057,223280
160,Brooklyn,10,Thursday,6.065396942800789,230340
161,Brooklyn,11,Sunday,5.37037037037037,231800
162,Brooklyn,12,Monday,6.0,199750
163,Brooklyn,13,Wednesday,6.3238108509847635,242880
164,Brooklyn,14,Thursday,6.638871312784357,268560
165,Brooklyn,14,Tuesday,6.54639175257732,252030
166,Brooklyn,16,Friday,6.784928073234525,326940
167,Brooklyn,17,Thursday,6.798527279871019,317740
168,Brooklyn,20,Friday,5.724400871459695,364330
169,Brooklyn,20,Sunday,5.373333333333333,272230
170,Brooklyn,22,Thursday,5.0747494842322425,263700
324,Manhattan,0,Sunday,5.118092356983988,417100
325,Manhattan,0,Tuesday,4.349717749398483,105940
326,Manhattan,0,Wednesday,4.460188933873145,136870
327,Manhattan,2,Thursday,4.261796042617961,61510
328,Manhattan,2,Wednesday,4.196217494089835,49130
329,Manhattan,7,Tuesday,5.312084993359894,277350
330,Manhattan,8,Sunday,4.25054950209749,120900
331,Manhattan,10,Friday,6.332540940306392,309630
332,Manhattan,10,Sunday,4.900199600798404,251030
333,Manhattan,10,Tuesday,6.4871027176416405,281380
334,Manhattan,12,Monday,6.268900423993016,263480
335,Manhattan,13,Saturday,6.186230347995053,395980
336,Manhattan,14,Monday,6.405038113140693,274300
337,Manhattan,14,Saturday,6.367924528301886,402270
338,Manhattan,16,Tuesday,6.798941798941799,310810
339,Manhattan,19,Thursday,6.244098016398487,491160
340,Manhattan,20,Sunday,5.343962416916154,321220
341,Manhattan,20,Thursday,5.820707070707071,411170
342,Manhattan,22,Sunday,4.830960102699233,263920
472,Queens,1,Tuesday,3.7871077184054283,40530
473,Queens,3,Wednesday,3.359918200408998,28170
474,Queens,6,Thursday,3.8775510204081636,99590
475,Queens,7,Monday,4.583980259740507,141760
476,Queens,8,Saturday,4.071758225398244,123110
477,Queens,8,Sunday,3.690217255083257,87780
478,Queens,9,Monday,4.506172839506172,151200
479,Queens,9,Thursday,4.6599679627202555,162030
480,Queens,9,Wednesday,4.62678936605317,160370
481,Queens,10,Friday,4.669211195928753,157070
482,Queens,10,Saturday,4.619514403136645,151280
483,Queens,12,Sunday,4.604938271604938,142510
484,Queens,18,Sunday,4.560649474689589,150250
485,Queens,18,Thursday,5.191441441441442,183720
486,Queens,21,Friday,4.53763440860215,169670
