,PUBorough,DOBorough,no_of_trips,PULatitude,PULongitude,DOLatitude,DOLongitude
0,EWR,Brooklyn,370,40.689491,-74.174538,40.6782,-73.9442
2,Manhattan,Brooklyn,5763900,40.7831,-73.9712,40.6782,-73.9442
3,Staten Island,Brooklyn,183910,40.5795,-74.1502,40.6782,-73.9442
4,Queens,Brooklyn,4113120,40.7282,-73.7949,40.6782,-73.9442
5,Bronx,Brooklyn,338860,40.8448,-73.8648,40.6782,-73.9442
6,EWR,Bronx,70,40.689491,-74.174538,40.8448,-73.8648
7,Brooklyn,Bronx,351340,40.6782,-73.9442,40.8448,-73.8648
8,Manhattan,Bronx,4013450,40.7831,-73.9712,40.8448,-73.8648
9,Staten Island,Bronx,2720,40.5795,-74.1502,40.8448,-73.8648
10,Queens,Bronx,773570,40.7282,-73.7949,40.8448,-73.8648
12,EWR,Manhattan,1600,40.689491,-74.174538,40.7831,-73.9712
13,Brooklyn,Manhattan,5679500,40.6782,-73.9442,40.7831,-73.9712
15,Staten Island,Manhattan,59230,40.5795,-74.1502,40.7831,-73.9712
16,Queens,Manhattan,4425870,40.7282,-73.7949,40.7831,-73.9712
17,Bronx,Manhattan,4011460,40.8448,-73.8648,40.7831,-73.9712
18,EWR,Queens,40,40.689491,-74.174538,40.7282,-73.7949
19,Brooklyn,Queens,4431610,40.6782,-73.9442,40.7282,-73.7949
20,Manhattan,Queens,4908580,40.7831,-73.9712,40.7282,-73.7949
21,Staten Island,Queens,20320,40.5795,-74.1502,40.7282,-73.7949
23,Bronx,Queens,810680,40.8448,-73.8648,40.7282,-73.7949
25,Brooklyn,EWR,90370,40.6782,-73.9442,40.689491,-74.174538
26,Manhattan,EWR,586080,40.7831,-73.9712,40.689491,-74.174538
27,Staten Island,EWR,27690,40.5795,-74.1502,40.689491,-74.174538
28,Queens,EWR,13690,40.7282,-73.7949,40.689491,-74.174538
29,Bronx,EWR,12770,40.8448,-73.8648,40.689491,-74.174538
30,EWR,Staten Island,10,40.689491,-74.174538,40.5795,-74.1502
31,Brooklyn,Staten Island,191210,40.6782,-73.9442,40.5795,-74.1502
32,Manhattan,Staten Island,80080,40.7831,-73.9712,40.5795,-74.1502
34,Queens,Staten Island,21960,40.7282,-73.7949,40.5795,-74.1502
35,Bronx,Staten Island,3200,40.8448,-73.8648,40.5795,-74.1502
