,pickup_date,month,day_of_week,Holiday,hour_of_day,minutes_per_mile,traffic
0,2021-01-01,January,Friday,New Year's Day,9,3.860825453605254,7260
1,2021-01-02,January,Saturday,NA,11,4.406349206349207,13970
2,2021-01-03,January,Sunday,NA,3,3.7840561753647695,5400
3,2021-01-03,January,Sunday,NA,12,4.602888086642599,14210
4,2021-01-03,January,Sunday,NA,14,4.789747224190881,16270
5,2021-01-03,January,Sunday,NA,22,3.9747152614799672,11840
6,2021-01-04,January,Monday,NA,5,3.223793677204659,5550
7,2021-01-04,January,Monday,NA,8,4.798177083333333,21270
8,2021-01-04,January,Monday,NA,9,4.710054511344731,17400
9,2021-01-04,January,Monday,NA,21,4.199759326113116,11130
10,2021-01-05,January,Tuesday,NA,20,4.467768832415933,14220
11,2021-01-05,January,Tuesday,NA,22,4.019379844961241,12270
12,2021-01-06,January,Wednesday,NA,10,5.09704641350211,16150
13,2021-01-06,January,Wednesday,NA,13,5.2695360195360195,17280
14,2021-01-06,January,Wednesday,NA,15,5.567867036011081,20030
15,2021-01-06,January,Wednesday,NA,18,5.1000000000000005,22370
16,2021-01-06,January,Wednesday,NA,23,3.9742109314857585,11270
17,2021-01-07,January,Thursday,NA,5,3.4248554566033382,5660
18,2021-01-07,January,Thursday,NA,10,5.042735042735043,16190
19,2021-01-07,January,Thursday,NA,17,5.5694197311190194,23460
20,2021-01-07,January,Thursday,NA,19,4.907834101382488,19850
21,2021-01-07,January,Thursday,NA,23,3.962264150943396,11950
22,2021-01-08,January,Friday,NA,1,3.9456233421750664,5170
23,2021-01-08,January,Friday,NA,2,3.7276996961579143,3480
24,2021-01-08,January,Friday,NA,3,3.4737547288776796,2780
25,2021-01-09,January,Saturday,NA,3,3.809681308967929,5400
26,2021-01-09,January,Saturday,NA,6,3.302114180474021,7620
27,2021-01-09,January,Saturday,NA,9,4.326710816777042,14310
28,2021-01-09,January,Saturday,NA,12,4.936217415418747,20550
29,2021-01-09,January,Saturday,NA,18,5.0297754744318475,26500
30,2021-01-09,January,Saturday,NA,23,4.1141141141141135,19650
31,2021-01-10,January,Sunday,NA,7,3.5753575357535756,8330
32,2021-01-10,January,Sunday,NA,14,4.8933333333333335,19310
33,2021-01-10,January,Sunday,NA,16,4.921875,19830
34,2021-01-10,January,Sunday,NA,17,4.7715571618534565,20480
35,2021-01-11,January,Monday,NA,7,4.522985664854176,17130
36,2021-01-11,January,Monday,NA,15,5.446570972886763,18950
37,2021-01-12,January,Tuesday,NA,3,3.326639892904953,2560
38,2021-01-12,January,Tuesday,NA,13,5.376068376068376,17390
39,2021-01-12,January,Tuesday,NA,23,3.8915989159891597,10910
40,2021-01-13,January,Wednesday,NA,3,3.4584060500290863,2550
41,2021-01-14,January,Thursday,NA,2,3.8278388278388285,3270
42,2021-01-14,January,Thursday,NA,4,2.9806788487206965,3220
43,2021-01-14,January,Thursday,NA,6,3.85743761884967,11240
44,2021-01-14,January,Thursday,NA,11,5.041279669762642,16270
45,2021-01-14,January,Thursday,NA,18,5.308210906059225,23520
46,2021-01-16,January,Saturday,NA,3,3.8820652685037143,6180
47,2021-01-16,January,Saturday,NA,10,4.446031746031746,15820
48,2021-01-16,January,Saturday,NA,12,4.780245409546388,19680
49,2021-01-17,January,Sunday,NA,2,3.8788659793814437,9970
50,2021-01-17,January,Sunday,NA,7,3.4694835680751175,8350
51,2021-01-18,January,Monday,"Birthday of Martin Luther King, Jr.",12,5.005291005291006,16690
52,2021-01-18,January,Monday,"Birthday of Martin Luther King, Jr.",18,4.86954268387017,19400
53,2021-01-18,January,Monday,"Birthday of Martin Luther King, Jr.",19,4.623123044075927,17700
54,2021-01-18,January,Monday,"Birthday of Martin Luther King, Jr.",20,4.3502109704641345,14950
55,2021-01-19,January,Tuesday,NA,9,5.180902055902056,18800
56,2021-01-19,January,Tuesday,NA,14,5.543478260869565,18650
57,2021-01-19,January,Tuesday,NA,15,5.603804797353184,19130
58,2021-01-19,January,Tuesday,NA,20,4.436206386753401,14560
59,2021-01-20,January,Wednesday,NA,4,3.0194805194805197,3070
60,2021-01-20,January,Wednesday,NA,5,3.4569610363247105,5660
61,2021-01-20,January,Wednesday,NA,12,5.165032679738562,16540
62,2021-01-20,January,Wednesday,NA,23,4.025802440351287,12230
63,2021-01-21,January,Thursday,NA,4,3.0040394953658254,3180
64,2021-01-21,January,Thursday,NA,6,3.8820332897564533,11620
65,2021-01-21,January,Thursday,NA,16,5.792564204847656,21260
66,2021-01-21,January,Thursday,NA,19,4.908234126984127,22230
67,2021-01-21,January,Thursday,NA,21,4.2622022903761,15100
68,2021-01-22,January,Friday,NA,4,2.980850075608257,3500
69,2021-01-22,January,Friday,NA,20,4.764309764309765,23370
70,2021-01-22,January,Friday,NA,23,4.07530454042082,18750
71,2021-01-23,January,Saturday,NA,11,4.805951785118451,19540
72,2021-01-23,January,Saturday,NA,15,5.236959064327485,25640
73,2021-01-24,January,Sunday,NA,3,3.72790404040404,7630
74,2021-01-24,January,Sunday,NA,6,3.324840368231323,6940
75,2021-01-24,January,Sunday,NA,17,4.814814814814815,20970
76,2021-01-24,January,Sunday,NA,21,4.214285714285714,16330
77,2021-01-24,January,Sunday,NA,23,3.940937515617972,12460
78,2021-01-25,January,Monday,NA,5,3.3944153577661433,6010
79,2021-01-25,January,Monday,NA,11,4.992354740061161,15530
80,2021-01-25,January,Monday,NA,12,5.110958475295558,15780
81,2021-01-25,January,Monday,NA,13,5.3249213385071315,17120
82,2021-01-26,January,Tuesday,NA,10,4.974226804123711,17090
83,2021-01-26,January,Tuesday,NA,17,5.296713055141961,24120
84,2021-01-26,January,Tuesday,NA,23,3.900180668473351,10800
85,2021-01-27,January,Wednesday,NA,6,3.996437317985385,11300
86,2021-01-27,January,Wednesday,NA,10,5.1629768559380205,17500
87,2021-01-27,January,Wednesday,NA,13,5.341102209274095,19070
88,2021-01-29,January,Friday,NA,7,4.460461393596987,20980
89,2021-01-29,January,Friday,NA,13,5.547794117647059,23240
90,2021-01-30,January,Saturday,NA,15,5.392018114916502,25530
91,2021-01-30,January,Saturday,NA,16,5.397821344397046,25320
92,2021-01-31,January,Sunday,NA,8,3.7526881720430105,9790
93,2021-01-31,January,Sunday,NA,10,4.221411192214112,15590
94,2021-02-01,February,Monday,NA,7,5.361635220125786,10250
95,2021-02-01,February,Monday,NA,15,6.0322952710495965,9470
96,2021-02-01,February,Monday,NA,17,5.898692810457516,9030
97,2021-02-02,February,Tuesday,NA,1,4.678416121801824,2200
98,2021-02-02,February,Tuesday,NA,8,4.726277372262773,13490
99,2021-02-03,February,Wednesday,NA,0,4.044289888671544,7520
100,2021-02-03,February,Wednesday,NA,5,3.408022528622224,6460
101,2021-02-03,February,Wednesday,NA,6,4.259259259259259,12130
102,2021-02-03,February,Wednesday,NA,10,5.906320861678005,21330
103,2021-02-03,February,Wednesday,NA,16,6.156265974597932,22460
104,2021-02-04,February,Thursday,NA,13,6.266649352284712,20080
105,2021-02-04,February,Thursday,NA,20,5.172184549926871,20950
106,2021-02-04,February,Thursday,NA,22,4.452762876933493,17400
107,2021-02-05,February,Friday,NA,14,6.34009009009009,22830
108,2021-02-05,February,Friday,NA,19,5.444335831432605,30240
109,2021-02-06,February,Saturday,NA,11,5.292207792207792,20550
110,2021-02-06,February,Saturday,NA,20,5.111272609819121,26080
111,2021-02-06,February,Saturday,NA,22,4.521445698894457,23880
112,2021-02-07,February,Sunday,NA,2,3.97970726369479,10780
113,2021-02-08,February,Monday,NA,1,3.863994837969601,6700
114,2021-02-08,February,Monday,NA,2,3.8747884940778343,4090
115,2021-02-08,February,Monday,NA,15,5.913705583756346,21390
116,2021-02-08,February,Monday,NA,16,5.987290194245066,21620
117,2021-02-08,February,Monday,NA,21,4.413625422846735,13560
118,2021-02-09,February,Tuesday,NA,2,3.8780260707635006,2790
119,2021-02-09,February,Tuesday,NA,14,6.028985507246376,22450
120,2021-02-09,February,Tuesday,NA,21,4.499389499389499,15070
121,2021-02-10,February,Wednesday,NA,1,3.9744422785358458,4590
122,2021-02-10,February,Wednesday,NA,10,5.426875551954923,18900
123,2021-02-10,February,Wednesday,NA,19,5.201493379283465,23780
124,2021-02-11,February,Thursday,NA,0,4.241127628230883,8580
125,2021-02-11,February,Thursday,NA,7,4.820789639611421,20060
126,2021-02-11,February,Thursday,NA,11,5.3917609046849755,18990
127,2021-02-11,February,Thursday,NA,21,4.468103101455636,17160
128,2021-02-12,February,Friday,Lincoln's Birthday,19,5.408163265306122,29650
129,2021-02-13,February,Saturday,NA,4,3.4503595803044966,5400
130,2021-02-13,February,Saturday,NA,9,4.343681917211328,16470
131,2021-02-14,February,Sunday,NA,0,4.173387096774193,18730
132,2021-02-14,February,Sunday,NA,5,3.182691242419425,5340
133,2021-02-14,February,Sunday,NA,17,5.051679586563307,27370
134,2021-02-15,February,Monday,Washington's Birthday,6,3.470282186948854,9240
135,2021-02-16,February,Tuesday,NA,2,4.093943498452012,2960
136,2021-02-16,February,Tuesday,NA,20,4.627898926964347,16620
137,2021-02-17,February,Wednesday,NA,0,4.075119158214654,7380
138,2021-02-17,February,Wednesday,NA,9,5.366161616161616,20910
139,2021-02-17,February,Wednesday,NA,21,4.467017676343906,17840
140,2021-02-19,February,Friday,NA,14,5.3778793070626305,23070
141,2021-02-19,February,Friday,NA,22,4.352367191886031,21800
142,2021-02-19,February,Friday,NA,23,4.233630952380952,19950
143,2021-02-20,February,Saturday,NA,17,5.296296296296296,27950
144,2021-02-21,February,Sunday,NA,4,3.6666666666666665,5930
145,2021-02-21,February,Sunday,NA,9,4.132249211857296,12180
146,2021-02-22,February,Monday,NA,0,3.7608728537932077,8640
147,2021-02-22,February,Monday,NA,5,3.306412139011258,6130
148,2021-02-22,February,Monday,NA,15,5.850340136054422,22770
149,2021-02-22,February,Monday,NA,16,5.722146533454435,22400
150,2021-02-23,February,Tuesday,NA,8,5.4027978774722625,23790
151,2021-02-23,February,Tuesday,NA,18,5.407191054559476,24600
152,2021-02-24,February,Wednesday,NA,4,3.0045664592657277,3120
153,2021-02-25,February,Thursday,NA,0,3.842655752614825,8990
154,2021-02-26,February,Friday,NA,5,3.0888190793253836,6600
155,2021-02-26,February,Friday,NA,15,6.324324324324324,24950
156,2021-02-27,February,Saturday,NA,8,4.196325002636296,14780
157,2021-02-27,February,Saturday,NA,10,4.806034482758621,21890
158,2021-02-27,February,Saturday,NA,18,5.201285613117612,31020
159,2021-02-27,February,Saturday,NA,20,4.960384673291177,29660
160,2021-02-28,February,Sunday,NA,8,3.7037037037037037,10010
161,2021-03-01,March,Monday,NA,6,3.76347113017213,11960
162,2021-03-01,March,Monday,NA,11,5.194300518134716,16330
163,2021-03-01,March,Monday,NA,19,4.767111146387279,20500
164,2021-03-02,March,Tuesday,NA,7,4.782608695652174,19550
165,2021-03-02,March,Tuesday,NA,12,5.397271861179631,19220
166,2021-03-02,March,Tuesday,NA,18,5.358088608652616,25980
167,2021-03-02,March,Tuesday,NA,23,4.0777777777777775,13390
168,2021-03-03,March,Wednesday,NA,4,2.9469635989625256,3210
169,2021-03-03,March,Wednesday,NA,11,5.333333333333334,17950
170,2021-03-03,March,Wednesday,NA,23,3.974543707973103,15130
171,2021-03-05,March,Friday,NA,2,3.7700488145048814,4050
172,2021-03-05,March,Friday,NA,3,3.5472972972972974,3350
173,2021-03-06,March,Saturday,NA,0,4.127947862493049,19480
174,2021-03-06,March,Saturday,NA,6,3.203745997971472,9060
175,2021-03-06,March,Saturday,NA,9,4.334134615384615,16880
176,2021-03-06,March,Saturday,NA,12,5.124716553287982,24570
177,2021-03-06,March,Saturday,NA,18,5.374288499025341,33160
178,2021-03-07,March,Sunday,NA,12,4.79002624671916,20590
179,2021-03-08,March,Monday,NA,14,5.702664399092971,20120
180,2021-03-08,March,Monday,NA,16,5.6723815196120135,20140
181,2021-03-08,March,Monday,NA,20,4.5030761876381336,16880
182,2021-03-08,March,Monday,NA,21,4.173873022793886,14520
183,2021-03-08,March,Monday,NA,23,3.958333333333333,12150
184,2021-03-09,March,Tuesday,NA,2,3.8137822198842715,3110
185,2021-03-09,March,Tuesday,NA,6,3.917075051769264,12020
186,2021-03-09,March,Tuesday,NA,10,5.250396825396825,18340
187,2021-03-09,March,Tuesday,NA,20,4.570511478612797,20470
188,2021-03-10,March,Wednesday,NA,4,3.075117370892019,3650
189,2021-03-11,March,Thursday,NA,4,3.0813953488372094,3430
190,2021-03-11,March,Thursday,NA,5,3.104157131960336,6660
191,2021-03-11,March,Thursday,NA,10,5.313256620994482,18980
192,2021-03-12,March,Friday,NA,4,3.1381733021077287,4010
193,2021-03-12,March,Friday,NA,21,4.755752990117193,28260
194,2021-03-12,March,Friday,NA,22,4.480098127159108,27520
195,2021-03-13,March,Saturday,NA,8,3.9487870619946093,14230
196,2021-03-13,March,Saturday,NA,12,5.170533412651199,24010
197,2021-03-13,March,Saturday,NA,16,5.644354107687233,28900
198,2021-03-13,March,Saturday,NA,21,4.704301075268817,29670
199,2021-03-14,March,Sunday,NA,9,3.7943354482330385,12720
200,2021-03-14,March,Sunday,NA,12,4.709219858156028,20050
201,2021-03-14,March,Sunday,NA,14,5.029622089988517,22720
202,2021-03-14,March,Sunday,NA,18,4.884958365884796,24540
203,2021-03-15,March,Monday,NA,3,3.4015395725082755,3000
204,2021-03-15,March,Monday,NA,11,5.163923902894491,18900
205,2021-03-16,March,Tuesday,NA,8,5.279805352798053,25650
206,2021-03-17,March,Wednesday,NA,4,2.8971806755143605,3460
207,2021-03-17,March,Wednesday,NA,22,4.245968437392205,20700
208,2021-03-18,March,Thursday,NA,6,3.6197811759776988,12200
209,2021-03-18,March,Thursday,NA,13,5.6771998419466065,25760
210,2021-03-18,March,Thursday,NA,14,6.022222222222222,27730
211,2021-03-19,March,Friday,NA,2,3.8182261208577,4710
212,2021-03-19,March,Friday,NA,9,5.099019607843138,24480
213,2021-03-19,March,Friday,NA,20,5.11939810271508,33930
214,2021-03-20,March,Saturday,NA,9,4.346764346764347,17850
215,2021-03-20,March,Saturday,NA,18,5.419197672999601,34180
216,2021-03-20,March,Saturday,NA,22,4.630196085114118,30960
217,2021-03-21,March,Sunday,NA,0,4.163346613545817,25650
218,2021-03-21,March,Sunday,NA,1,4.007630405090174,19640
219,2021-03-21,March,Sunday,NA,2,3.9086499671638992,14300
220,2021-03-21,March,Sunday,NA,8,3.580858085808581,11250
221,2021-03-21,March,Sunday,NA,13,4.94212962962963,22890
222,2021-03-21,March,Sunday,NA,17,5.16524673473142,25860
223,2021-03-22,March,Monday,NA,4,2.8840361445783134,3610
224,2021-03-22,March,Monday,NA,6,3.72538159338823,11620
225,2021-03-22,March,Monday,NA,8,5.122482719588198,23360
226,2021-03-22,March,Monday,NA,21,4.3305885940835624,16950
227,2021-03-23,March,Tuesday,NA,15,5.899546647578144,22270
